method,r,event_index,event_name,scenario_system_nse,within_scenario_reduction,source_layout_count
DSS-QR,1,1,S20260731_XH01__DESIGN_200YR,0.6886054293433839,single frozen deterministic layout,1
DSS-QR,1,2,S20260731_XH02__DESIGN_200YR,0.6729208086022369,single frozen deterministic layout,1
DSS-QR,1,3,S20260731_XH03__DESIGN_200YR,0.6974022815228156,single frozen deterministic layout,1
DSS-QR,1,4,S20260731_XH04__DESIGN_200YR,0.689791873826494,single frozen deterministic layout,1
DSS-QR,1,5,S20260731_XH05__DESIGN_200YR,0.6831974104699277,single frozen deterministic layout,1
DSS-QR,1,6,S20260817_XH01__DESIGN_200YR,0.7060229163629581,single frozen deterministic layout,1
DSS-QR,1,7,S20260817_XH02__DESIGN_200YR,0.6901277535453589,single frozen deterministic layout,1
DSS-QR,1,8,S20260817_XH03__DESIGN_200YR,0.7090867676005675,single frozen deterministic layout,1
DSS-QR,1,9,S20260817_XH04__DESIGN_200YR,0.710344608540714,single frozen deterministic layout,1
DSS-QR,1,10,S20260817_XH05__DESIGN_200YR,0.7118621893113949,single frozen deterministic layout,1
DSS-QR,1,11,S20260911_XH01__DESIGN_200YR,0.6940949474091173,single frozen deterministic layout,1
DSS-QR,1,12,S20260911_XH02__DESIGN_200YR,0.6801468420075673,single frozen deterministic layout,1
DSS-QR,1,13,S20260911_XH03__DESIGN_200YR,0.7034008300032344,single frozen deterministic layout,1
DSS-QR,1,14,S20260911_XH04__DESIGN_200YR,0.691749385136413,single frozen deterministic layout,1
DSS-QR,1,15,S20260911_XH05__DESIGN_200YR,0.6948013105185349,single frozen deterministic layout,1
DSS-QR,1,16,S20261023_XH01__DESIGN_200YR,0.6788196744843331,single frozen deterministic layout,1
DSS-QR,1,17,S20261023_XH02__DESIGN_200YR,0.6740976259004245,single frozen deterministic layout,1
DSS-QR,1,18,S20261023_XH03__DESIGN_200YR,0.6508527784090145,single frozen deterministic layout,1
DSS-QR,1,19,S20261023_XH04__DESIGN_200YR,0.6638763982111434,single frozen deterministic layout,1
DSS-QR,1,20,S20261023_XH05__DESIGN_200YR,0.6763934630860815,single frozen deterministic layout,1
DSS-QR,1,21,S20261207_XH01__DESIGN_200YR,0.6736209706586208,single frozen deterministic layout,1
DSS-QR,1,22,S20261207_XH02__DESIGN_200YR,0.6763965431252723,single frozen deterministic layout,1
DSS-QR,1,23,S20261207_XH03__DESIGN_200YR,0.6766620209967041,single frozen deterministic layout,1
DSS-QR,1,24,S20261207_XH04__DESIGN_200YR,0.6738371134088617,single frozen deterministic layout,1
DSS-QR,1,25,S20261207_XH05__DESIGN_200YR,0.6771145736218029,single frozen deterministic layout,1
DSS-QR,1,26,S20260731_XH01__OBS_20250606T0108,-0.07333379994781919,single frozen deterministic layout,1
DSS-QR,1,27,S20260731_XH02__OBS_20250606T0108,-0.22047441660437572,single frozen deterministic layout,1
DSS-QR,1,28,S20260731_XH03__OBS_20250606T0108,-0.08361676180850286,single frozen deterministic layout,1
DSS-QR,1,29,S20260731_XH04__OBS_20250606T0108,-0.09238552631350849,single frozen deterministic layout,1
DSS-QR,1,30,S20260731_XH05__OBS_20250606T0108,-0.21709066678439037,single frozen deterministic layout,1
DSS-QR,1,31,S20260817_XH01__OBS_20250606T0108,-0.155232772835173,single frozen deterministic layout,1
DSS-QR,1,32,S20260817_XH02__OBS_20250606T0108,-0.18360226966532212,single frozen deterministic layout,1
DSS-QR,1,33,S20260817_XH03__OBS_20250606T0108,-0.1882362021047499,single frozen deterministic layout,1
