scenario_index,spearman,parameter_id,rainfall_id,event_name
0,0.8352407341629454,S20260731_XH01,DESIGN_200YR,S20260731_XH01__DESIGN_200YR
1,0.8393452228347592,S20260731_XH02,DESIGN_200YR,S20260731_XH02__DESIGN_200YR
2,0.8370345536644312,S20260731_XH03,DESIGN_200YR,S20260731_XH03__DESIGN_200YR
3,0.8352694353920682,S20260731_XH04,DESIGN_200YR,S20260731_XH04__DESIGN_200YR
4,0.8376429547851199,S20260731_XH05,DESIGN_200YR,S20260731_XH05__DESIGN_200YR
5,0.8454375028273002,S20260817_XH01,DESIGN_200YR,S20260817_XH01__DESIGN_200YR
6,0.8391964915901751,S20260817_XH02,DESIGN_200YR,S20260817_XH02__DESIGN_200YR
7,0.8446232909131242,S20260817_XH03,DESIGN_200YR,S20260817_XH03__DESIGN_200YR
8,0.8431216169855811,S20260817_XH04,DESIGN_200YR,S20260817_XH04__DESIGN_200YR
9,0.841910154724382,S20260817_XH05,DESIGN_200YR,S20260817_XH05__DESIGN_200YR
10,0.8458363490916486,S20260911_XH01,DESIGN_200YR,S20260911_XH01__DESIGN_200YR
11,0.8419097009657872,S20260911_XH02,DESIGN_200YR,S20260911_XH02__DESIGN_200YR
12,0.8417576652231279,S20260911_XH03,DESIGN_200YR,S20260911_XH03__DESIGN_200YR
13,0.8511366424700222,S20260911_XH04,DESIGN_200YR,S20260911_XH04__DESIGN_200YR
14,0.8464395016048574,S20260911_XH05,DESIGN_200YR,S20260911_XH05__DESIGN_200YR
15,0.8387148851695312,S20261023_XH01,DESIGN_200YR,S20261023_XH01__DESIGN_200YR
16,0.8392499455058882,S20261023_XH02,DESIGN_200YR,S20261023_XH02__DESIGN_200YR
17,0.8540622791757378,S20261023_XH03,DESIGN_200YR,S20261023_XH03__DESIGN_200YR
18,0.8428027271550672,S20261023_XH04,DESIGN_200YR,S20261023_XH04__DESIGN_200YR
19,0.8389506684258976,S20261023_XH05,DESIGN_200YR,S20261023_XH05__DESIGN_200YR
20,0.8466103858496934,S20261207_XH01,DESIGN_200YR,S20261207_XH01__DESIGN_200YR
21,0.8454355644841338,S20261207_XH02,DESIGN_200YR,S20261207_XH02__DESIGN_200YR
22,0.8425301317901407,S20261207_XH03,DESIGN_200YR,S20261207_XH03__DESIGN_200YR
23,0.8437408408919126,S20261207_XH04,DESIGN_200YR,S20261207_XH04__DESIGN_200YR
24,0.8389994210832079,S20261207_XH05,DESIGN_200YR,S20261207_XH05__DESIGN_200YR
25,0.7231301318490585,S20260731_XH01,OBS_20250606T0108,S20260731_XH01__OBS_20250606T0108
26,0.689683443874638,S20260731_XH02,OBS_20250606T0108,S20260731_XH02__OBS_20250606T0108
27,0.7174186222920816,S20260731_XH03,OBS_20250606T0108,S20260731_XH03__OBS_20250606T0108
28,0.714393376480555,S20260731_XH04,OBS_20250606T0108,S20260731_XH04__OBS_20250606T0108
29,0.6942686638315851,S20260731_XH05,OBS_20250606T0108,S20260731_XH05__OBS_20250606T0108
30,0.7004084443233455,S20260817_XH01,OBS_20250606T0108,S20260817_XH01__OBS_20250606T0108
31,0.6948042799448358,S20260817_XH02,OBS_20250606T0108,S20260817_XH02__OBS_20250606T0108
32,0.6955093258802876,S20260817_XH03,OBS_20250606T0108,S20260817_XH03__OBS_20250606T0108
33,0.6966200080475884,S20260817_XH04,OBS_20250606T0108,S20260817_XH04__OBS_20250606T0108
34,0.7066824490914199,S20260817_XH05,OBS_20250606T0108,S20260817_XH05__OBS_20250606T0108
35,0.6883739351589555,S20260911_XH01,OBS_20250606T0108,S20260911_XH01__OBS_20250606T0108
36,0.6920360194042868,S20260911_XH02,OBS_20250606T0108,S20260911_XH02__OBS_20250606T0108
37,0.6922704693290506,S20260911_XH03,OBS_20250606T0108,S20260911_XH03__OBS_20250606T0108
