Node_ID,Upstream_Area_km2,Upstream_Impervious_Area_km2,Mean_Circular_Diameter_m,Training_Activation_Fraction,Total_Degree,Mean_H_r8_reference,Nominal_Development_Activation_Fraction,Legacy_50_Basis_Activation_Fraction
8,0.483123047710166,0.138980173517275,0.9144,0.510350821701961,2,0.0413391678819903,0.510350821701961,0.489386513301935
16,0.483123047710166,0.138980173517275,0.9144,0.511126845862776,2,0.0413702909751655,0.511126845862776,0.488372225769016
20,0.436981802496066,0.134221358899163,0.9144,0.499268596150846,2,0.0354268931970775,0.499268596150846,0.477713202760153
25,0.436981802496066,0.134221358899163,0.9144,0.498191068484971,2,0.0354989009187357,0.498191068484971,0.477091927675433
31,0.434859776674991,0.132306671870912,0.9144,0.494228374186978,2,0.0352041777245083,0.494228374186978,0.471470037350546
34,0.432707925522083,0.130485486517785,0.9144,0.485903355938147,4,0.0348843274601445,0.485903355938147,0.464713643101521
47,0.432707925522083,0.130485486517785,0.6096,0.485919902799354,4,0.0348792943349118,0.485919902799354,0.464765938065903
50,0.430638674755612,0.128665193556969,0.9144,0.479630640436657,2,0.0338916963190661,0.479630640436657,0.457478113264922
62,0.430638674755612,0.128665193556969,0.6858,0.478376557642559,4,0.033915976407879,0.478376557642559,0.456588809196517
78,0.428134395017446,0.126343477503861,0.9144,0.467981579439625,3,0.0326227696387162,0.467981579439625,0.445932756447886
84,0.428134395017446,0.126343477503861,0.9144,0.466384210515517,3,0.0316880932417996,0.466384210515517,0.443397913281677
94,0.386977865201638,0.119102351552755,0.889,0.450395873908422,3,0.0299637919416756,0.450395873908422,0.426929370831388
96,0.377901348993519,0.114558608435555,1.0668,0.442164228702763,2,0.0290791837701846,0.442164228702763,0.416100774292115
99,0.362078140381935,0.112369415465786,0.9906,0.435129293489485,2,0.0271306728520798,0.435129293489485,0.408658315423711
110,0.334264589907264,0.103603783037268,0.9144,0.416259541325808,2,0.0235756101362368,0.416259541325808,0.380811734506491
114,0.07264107278208,0.0161111890872721,0.4191,0.0499096145982776,2,0.0017355686739204,0.0499096145982776,0.0960449742250058
115,0.07264107278208,0.0161111890872721,0.3429,0.0499992846126248,2,0.0017431076723298,0.0499992846126248,0.0959053399969602
116,0.07264107278208,0.0161111890872721,0.381,0.0499992846126248,2,0.0017556590462152,0.0499992846126248,0.0959107481194583
117,0.099309856605696,0.0229474296631353,0.4572,0.222179186511194,2,0.0029231388202494,0.222179186511194,0.235235490666503
118,0.07264107278208,0.0161111890872721,0.4572,0.05037120449143,2,0.0017183207836716,0.05037120449143,0.0960520158220857
120,0.334264589907264,0.103603783037268,0.762,0.414800327375719,3,0.0235975762783845,0.414800327375719,0.378975312863863
123,0.234954733301568,0.0806563533741329,0.9906,0.381400013115141,3,0.0125373578488847,0.381400013115141,0.330702415574771
124,0.066530319584256,0.0145450963538711,0.4572,0.0496117520852734,2,0.001498961110328,0.0496117520852734,0.0924124309422443
125,0.233469439869993,0.0792018390248114,1.0668,0.355835284075603,2,0.009658011565872,0.355835284075603,0.30753081033582
127,0.066530319584256,0.0145450963538711,0.381,0.0490981438816757,3,0.0017246326927234,0.0490981438816757,0.0924099590495
136,0.023633641506816,0.0089971851652911,0.381,0.0438717190041616,3,0.0003360000816071,0.0438717190041616,0.0603029152355979
137,0.233469439869993,0.0792018390248114,0.8382,0.353476641799187,3,0.0103175119513767,0.353476641799187,0.304334265552193
138,0.031929697172736,0.0064680872015423,0.3429,0.0405986494046478,2,0.0003866821088899,0.0405986494046478,0.0633512676312933
145,0.031929697172736,0.0064680872015423,0.3048,0.0405089793903006,1,0.0003988622529271,0.0405089793903006,0.063128521539379
148,0.204225014042058,0.0705032685118559,0.7366,0.34089350058022,3,0.0092750093346844,0.34089350058022,0.290506306876606
150,0.011816820753408,0.0044463517770291,0.381,0.03549186493607,2,0.0001369415353547,0.03549186493607,0.0539148762995329
152,0.174993177984454,0.0610220950893676,0.762,0.331703015089173,2,0.0074806473463085,0.331703015089173,0.278740214388545
154,0.174993177984454,0.0610220950893676,0.762,0.332280534563585,2,0.0075533238713489,0.332280534563585,0.27849243245716
163,0.174993177984454,0.0610220950893676,0.6096,0.331270233035887,2,0.0077555617061758,0.331270233035887,0.276707399363977
167,0.012383380652544,0.0037032631287376,0.3048,0.112003198476396,2,8.35837905017242e-05,0.112003198476396,0.0744120794534097
176,0.150876159712264,0.0517444201404229,0.5334,0.322583901603072,2,0.0061676588104687,0.322583901603072,0.262789894384603
179,0.129820187684834,0.0392440705047049,0.6096,0.287704915728624,2,0.004581136675787,0.287704915728624,0.230271774332663
182,0.060338629257984,0.0106011661176553,0.4572,0.128604488948038,2,9.88633171060534e-05,0.128604488948038,0.0821075550726118
183,0.060338629257984,0.0106011661176553,0.4064,0.195724247982023,4,0.0013159047900403,0.195724247982023,0.132574683460467
184,0.129820187684834,0.0392440705047049,0.508,0.287380606483452,3,0.0050149194256077,0.287380606483452,0.229758545011867
185,0.060338629257984,0.0106011661176553,0.4572,0.196447436334434,2,0.0009900814754481,0.196447436334434,0.133043521599374
186,0.060338629257984,0.0106011661176553,0.4572,0.195868997755042,3,0.0011849658029708,0.195868997755042,0.132887637277521
189,0.0575838005449944,0.0232641249565554,0.4572,0.252442800715556,2,0.0015592731379918,0.252442800715556,0.202763965564746
197,0.04613416321536,0.0175988100731746,0.4191,0.23204510512814,2,0.0009768483084812,0.23204510512814,0.174180473208351
203,0.04613416321536,0.0175988100731746,0.3429,0.232430262802318,2,0.00102124125449,0.232430262802318,0.173623004473092
208,0.019586785084416,0.0059856605716882,0.3048,0.156789091294964,2,0.0001996735310546,0.156789091294964,0.111352981464956
211,0.003358890830592,0.0012553364081276,0.3048,0.0436436102029851,1,7.84268759863865e-06,0.0436436102029851,0.0339710088439465
296,0.0070819987392,0.001720249362746,0.3048,0.0611797293398428,1,2.72090480670425e-05,0.0611797293398428,0.043161681217899
325,0.012383380652544,0.0037032631287376,0.3429,0.112450939114186,2,8.34375554407372e-05,0.112450939114186,0.0744079319889232
326,0.012383380652544,0.0037032631287376,0.381,0.11218897026638,2,8.26195276830753e-05,0.11218897026638,0.0746933204774215
332,0.012383380652544,0.0037032631287376,0.381,0.112262213081205,2,7.58985429807747e-05,0.112262213081205,0.0745453860266996
337,0.026871126644736,0.0055192887601325,0.4191,0.149932386840452,3,0.0002914019666009,0.149932386840452,0.0973643131985252
338,0.026871126644736,0.0055192887601325,0.4191,0.0729292576821818,2,2.75013161308453e-06,0.0729292576821818,0.0499435938558454
356,0.026871126644736,0.0055192887601325,0.3429,0.149790253364125,3,0.0002906930694229,0.149790253364125,0.0974768669910948
367,0.014244934606848,0.0018368045459192,0.4572,0.072428639657734,1,8.02372290158921e-05,0.072428639657734,0.049211350792435
J126,0.007365278688768,0.0029165811271324,0.3302,0.174597093769874,3,2.3736365730509e-05,0.174597093769874,0.173023793108377
J135,0.007365278688768,0.0029165811271324,0.3048,0.146777153763087,1,3.83136182203291e-05,0.146777153763087,0.149780388207919
J136,0.007365278688768,0.0029165811271324,0.3048,0.164834048934745,2,2.56780842106197e-05,0.164834048934745,0.165614500925851
J211,0.008215118537472,0.002879444312687,0.3048,0.0289500043908073,1,4.66255233625647e-05,0.0289500043908073,0.0419806435168935
J288,0.209101071345408,0.0192715760904332,0.6096,0.639692286935586,2,0.0137119785971957,0.639692286935586,0.640421474493116
J297,0.602819732680704,0.182496173580874,1.3716,0.661016719117513,1,0.0579979831645983,0.661016719117513,0.661721930391638
J303,0.618804815549184,0.189349924763647,1.3716,0.66253448975542,2,0.0582899497709241,0.66253448975542,0.663302202208003
J304,0.618804815549184,0.189349924763647,1.3716,0.644480916199802,2,0.0582327174554339,0.644480916199802,0.645136574345567
J306,0.827905886894592,0.20862150085408,,0.642202883412742,3,0.0579873769524068,0.642202883412742,0.642665516407194
J122,0,0,0.3048,0.00639978213507625,2,5.05902255325476e-06,0.00639978213507625,0.0073910675381263
J116,0.041156529815808,0.0072411259511066,0.3048,0.216747062173794,3,0.0007490786591401,0.216747062173794,0.219310738931812
J110,0.041156529815808,0.0072411259511066,0.3048,0.00929911259896913,3,0.0001205172553285,0.00929911259896913,0.0116623693720964
J86,0.0423776404132722,0.0084622365485709,0.3048,0.113279281331091,3,5.59421441453413e-05,0.113279281331091,0.114576084182861
