Method,Sensor_Count,Sensor_Indices,Sensor_Node_IDs,Bootstrap_Mean_Jaccard
NOMINAL_QR,1,63,J306,
NOMINAL_QR,2,"60,72","J297,OF-02",
NOMINAL_QR,3,"60,62,72","J297,J304,OF-02",
NOMINAL_QR,4,"20,60,72,74","120,J297,OF-02,OF04",
NOMINAL_QR,5,"20,60,62,72,73","120,J297,J304,OF-02,OF03",
NOMINAL_QR,6,"20,60,62,71,72,73","120,J297,J304,J305,OF-02,OF03",
NOMINAL_QR,7,"23,33,60,62,71,72,73","125,163,J297,J304,J305,OF-02,OF03",
NOMINAL_QR,8,"11,33,60,62,71,72,73,76","94,163,J297,J304,J305,OF-02,OF03,Stor-01",
NOMINAL_QR,9,"10,24,33,60,62,71,72,73,74","84,127,163,J297,J304,J305,OF-02,OF03,OF04",
NOMINAL_QR,10,"11,18,31,60,62,71,72,73,74,76","94,117,152,J297,J304,J305,OF-02,OF03,OF04,Stor-01",
